47	東山ダム	1.0 	東山ダム管理所	"8:30～17:00
（土・日・祝日・年末年始を除く）"		福島県会津若松市東山町大字湯本字境沢山３３４－２	http://www.pref.fukushima.lg.jp/sec/41340a/www-wakamatsu-kensetsu234.html
48	真野ダム	1.0 	真野ダム管理所	"9:30～16:30
（土・日・祝日を含む）"		福島県相馬郡飯舘村大倉字松ｹ平582	http://www.pref.fukushima.lg.jp/sec/41370a/soso20124.html
49	田島ダム	1.0 	南会津建設事務所	"8：30～17：00
（土・日・祝日・年末年始を除く）"		福島県南会津郡南会津町田島字根小屋甲４２７７－１　南会津合同庁舎３階	http://www.pref.fukushima.lg.jp/sec/41360a/tajimadamu.html
50	堀川ダム	1.0 	堀川ダム管理所	"9:00～17:00
（土・日・祝日・年末年始を除く）"		福島県西白河郡西郷村大字真船字横川１８０－４	http://www.pref.fukushima.lg.jp/sec/41330a/damukengakukai.html
51	こまちダム	1.0 	こまちダム管理所	"管理所１０:00～1５:00　　　　　　　　　　　　　小野町8:30～17:00
（土・日・祝日及び年末年始を除く）"		福島県田村郡小野町大字菖蒲谷字堂田４６－２１	http://www.pref.fukushima.jp/kenchu/kensetsu/office/komati-miharu/komati-top/komati-top.html
52	木戸ダム	1.0 	木戸ダム管理所	"8:30～16:30
（土・日・祝日・年末年始を除く）"		福島県双葉郡楢葉町大字上小塙字ｼﾍﾞｿﾌ1	http://www.pref.fukushima.lg.jp/sec/41371a/kidodamukanri.html
53	竜神ダム	1.0 	竜神ダム管理事務所	"9:00～16:00
（土・日・祝日および年末年始を除く）"	茨城県	茨城県常陸太田市下高倉２１５３	http://www.pref.ibaraki.jp/bukyoku/doboku/01class/class06/dam/shoukai/ryujin.html
54	藤井川ダム	1.0 	藤井川ダム管理事務所	"9:00～16:00
（土・日・祝日および年末年始を除く）"		茨城県東茨城郡城里町下古内１８３１	http://www.pref.ibaraki.jp/bukyoku/doboku/01class/class06/dam/shoukai/fujiigawa.html
55	飯田ダム	1.0 	飯田ダム管理事務所	"9:00～16:00
（土・日・祝日および年末年始を除く）"		茨城県笠間市飯田１１２５－１２	http://www.pref.ibaraki.jp/bukyoku/doboku/01class/class06/dam/shoukai/iida.html
56	川治ダム	1.1 	川治ダム管理支所	"8:30～17:15（土・日・祝日を含む）
休日は管理支所玄関のインターホンを押してください。"	栃木県	栃木県日光市川治温泉川治319-6	http://www.ktr.mlit.go.jp/kinudamu
57	五十里ダム	1.1 	五十里ダム管理支所	"8:30～17:15（土・日・祝日を含む）
休日は管理支所玄関のインターホンを押してください。"		栃木県日光市川治温泉川治295-1	http://www.ktr.mlit.go.jp/kinudamu/
58	川俣ダム	2.0 	川俣ダム管理支所	"8:30～17:15（土・日・祝日を含む）
休日は管理支所玄関のインターホンを押してください。"		栃木県日光市川俣646-1	http://www.ktr.mlit.go.jp/kinudamu/
59	湯西川ダム	1.0 	湯西川ダム管理支所	"8:30～17:15（土・日・祝日を含む）
休日は管理支所屋外のインターホンを押してください。"		栃木県日光市西川416	http://www.ktr.mlit.go.jp/kinudamu/
60	渡良瀬貯水池	1.0 	渡良瀬遊水池出張所	"8:30～17:15
（土・日・祝日・年末年始を除く）"		埼玉県加須市柏戸字宮345	http://www.ktr.mlit.go.jp/tonejo/
61			"北川辺スポーツ遊学館
（道の駅きたかわべ）"	"9:00～17:00
（月(休日の場合は翌日)・年末年始を除く）"		埼玉県加須市小野袋1737	http://www.city.kazo.lg.jp/
61	沼原ダム	1.0 	森の発電おはなし館	"10:00～16:00
冬期休館期間：12/1～4/30"		栃木県那須塩原市板室字滝の沢897-6	http://www.jpower.co.jp/damcard/numappara.html
62	今市ダム	1.0 	東京電力（株）栃木支店　栃木北支社　鬼怒川制御所	"9:00～17:00（土・日・祝日・年末年始を除く）
正面玄関の入所連絡用電話にて「土木保守Ｇ連絡先」にダイヤルしてください。
"		栃木県日光市鬼怒川温泉滝260	http://www.tepco.co.jp/tochigi/damcard.html
63	栗山ダム	1.0 	東京電力（株）栃木支店　栃木北支社　鬼怒川制御所	"9:00～17:00（土・日・祝日・年末年始を除く）
正面玄関の入所連絡用電話にて「土木保守Ｇ連絡先」にダイヤルしてください。
"		栃木県日光市鬼怒川温泉滝260	http://www.tepco.co.jp/tochigi/damcard.html
64	品木ダム	1.0 	"品木ダム水質管理所
（土日祝は同管理所内の環境体験アミューズメント）※"	"8:30～17:15（平日）
9:30～16:00（土・日・祝日）※
（年末年始は除く。1月～４月中旬は平日のみ）"	群馬県	群馬県吾妻郡草津町大字草津６０４－１	http://www.ktr.mlit.go.jp/sinaki/
65	相俣ダム	1.0	相俣ダム管理支所	"8:30～17:15
（年末年始を除く）"		群馬県利根郡みなかみ町相俣１４９３	http://www.ktr.mlit.go.jp/tonedamu/
66	藤原ダム	1.0	藤原ダム管理支所	"8:30～17:15
（年末年始を除く）"		群馬県利根郡みなかみ町夜後２６	http://www.ktr.mlit.go.jp/tonedamu/
67	薗原ダム	1.0	薗原ダム管理支所	"8:30～17:15
（年末年始を除く）"		"群馬県沼田市利根町
園原２３７８"	http://www.ktr.mlit.go.jp/tonedamu/
68	草木ダム	1.1 	草木ダム管理所	"8:30～17:00
（土・日・祝日含む）"		群馬県みどり市東町座間564-6	http://www.water.go.jp/kanto/kusaki/
